# Log Detector Power-to-Voltage Calibration
# Date: Thu Feb 26 06:06:16 2026
# Channel: 7 (Middle HAT, CS pin 22)
# Reference Voltage: 2.50 V
# Samples per point: 500
#
Power_dBm,Voltage_V,Std_Dev_V,N_Samples
-100.000,2.062872,0.040587,500
-99.000,2.062116,0.043348,500
-98.000,2.063097,0.038051,500
-97.000,2.059177,0.048312,500
-96.000,2.056965,0.053064,500
-95.000,2.058293,0.044125,500
-94.000,2.063886,0.044065,500
-93.000,2.060195,0.047470,500
-92.000,2.061092,0.047950,500
-91.000,2.062708,0.040795,500
-90.000,2.064450,0.038241,500
-89.000,2.063406,0.039926,500
-88.000,2.061342,0.042767,500
-87.000,2.056985,0.048322,500
-86.000,2.043645,0.062490,500
-85.000,2.056813,0.048466,500
-84.000,2.052804,0.051496,500
-83.000,2.051649,0.052760,500
-82.000,2.052778,0.042422,500
-81.000,2.053729,0.041142,500
-80.000,2.055175,0.043911,500
-79.000,2.057767,0.043475,500
-78.000,2.053454,0.043748,500
-77.000,2.054093,0.039479,500
-76.000,2.055726,0.037805,500
-75.000,2.054200,0.038232,500
-74.000,2.056482,0.035721,500
-73.000,2.053860,0.041848,500
-72.000,2.049215,0.042222,500
-71.000,2.044163,0.038791,500
-70.000,2.042226,0.035553,500
-69.000,2.041282,0.035524,500
-68.000,2.032425,0.034389,500
-67.000,2.033595,0.036215,500
-66.000,2.022956,0.038664,500
-65.000,2.018046,0.036184,500
-64.000,2.010890,0.032019,500
-63.000,1.994816,0.040336,500
-62.000,1.986135,0.035132,500
-61.000,1.974760,0.031689,500
-60.000,1.959262,0.030452,500
-59.000,1.942792,0.026499,500
-58.000,1.924662,0.028909,500
-57.000,1.907197,0.027169,500
-56.000,1.891145,0.018265,500
-55.000,1.869796,0.017912,500
-54.000,1.852150,0.011556,500
-53.000,1.829975,0.010205,500
-52.000,1.805314,0.011590,500
-51.000,1.783994,0.013207,500
-50.000,1.761364,0.011014,500
-49.000,1.732250,0.023516,500
-48.000,1.717229,0.005384,500
-47.000,1.693965,0.004529,500
-46.000,1.671080,0.005319,500
-45.000,1.647810,0.003930,500
-44.000,1.624751,0.003271,500
-43.000,1.600990,0.001209,500
-42.000,1.577267,0.000970,500
-41.000,1.553177,0.000990,500
-40.000,1.529453,0.001589,500
-39.000,1.505456,0.001536,500
-38.000,1.479855,0.000563,500
-37.000,1.455323,0.000465,500
-36.000,1.430814,0.000389,500
-35.000,1.406439,0.000316,500
-34.000,1.382355,0.000463,500
-33.000,1.356834,0.000385,500
-32.000,1.332171,0.000403,500
-31.000,1.307896,0.000331,500
-30.000,1.283555,0.000286,500
-29.000,1.259704,0.000215,500
-28.000,1.233208,0.000402,500
-27.000,1.208632,0.000322,500
-26.000,1.184055,0.000318,500
-25.000,1.159834,0.000321,500
-24.000,1.135857,0.000452,500
-23.000,1.111728,0.000313,500
-22.000,1.087737,0.000356,500
-21.000,1.062859,0.000323,500
-20.000,1.038435,0.000376,500
-19.000,1.013712,0.000364,500
-18.000,0.989799,0.000316,500
-17.000,0.965491,0.000370,500
-16.000,0.940545,0.000356,500
-15.000,0.915853,0.000378,500
-14.000,0.890934,0.000332,500
-13.000,0.865023,0.000293,500
-12.000,0.839423,0.000364,500
-11.000,0.813105,0.000331,500
-10.000,0.787180,0.000360,500
-9.000,0.761792,0.000316,500
-8.000,0.738147,0.000308,500
-7.000,0.713589,0.000314,500
-6.000,0.689940,0.000358,500
-5.000,0.667050,0.000322,500
-4.000,0.645678,0.000374,500
-3.000,0.626883,0.000407,500
-2.000,0.608504,0.000305,500
-1.000,0.592401,0.000347,500
0.000,0.578504,0.000376,500
1.000,0.566575,0.000615,500
2.000,0.558120,0.000273,500
3.000,0.548854,0.000295,500
4.000,0.541135,0.000338,500
5.000,0.534726,0.000250,500
6.000,0.528239,0.000341,500
7.000,0.522310,0.000345,500
8.000,0.517104,0.000324,500
9.000,0.513581,0.000368,500
10.000,0.511338,0.000321,500
11.000,0.511143,0.000327,500
12.000,0.512134,0.000357,500
13.000,0.513532,0.000360,500
14.000,0.513364,0.000320,500
15.000,0.512051,0.000376,500
16.000,0.510387,0.000376,500
17.000,0.508542,0.000307,500
