Power_dBm,Voltage_V,Std_Dev_V,In_Linear_Region
-100.0,2.062872,0.040587,False
-99.0,2.062116,0.043348,False
-98.0,2.063097,0.038051,False
-97.0,2.059177,0.048312,False
-96.0,2.056965,0.053064,False
-95.0,2.058293,0.044125,False
-94.0,2.063886,0.044065,False
-93.0,2.060195,0.04747,False
-92.0,2.061092,0.04795,False
-91.0,2.062708,0.040795,False
-90.0,2.06445,0.038241,False
-89.0,2.063406,0.039926,False
-88.0,2.061342,0.042767,False
-87.0,2.056985,0.048322,False
-86.0,2.043645,0.06249,False
-85.0,2.056813,0.048466,False
-84.0,2.052804,0.051496,False
-83.0,2.051649,0.05276,False
-82.0,2.052778,0.042422,False
-81.0,2.053729,0.041142,False
-80.0,2.055175,0.043911,False
-79.0,2.057767,0.043475,False
-78.0,2.053454,0.043748,False
-77.0,2.054093,0.039479,False
-76.0,2.055726,0.037805,False
-75.0,2.0542,0.038232,False
-74.0,2.056482,0.035721,False
-73.0,2.05386,0.041848,False
-72.0,2.049215,0.042222,False
-71.0,2.044163,0.038791,False
-70.0,2.042226,0.035553,False
-69.0,2.041282,0.035524,False
-68.0,2.032425,0.034389,False
-67.0,2.033595,0.036215,False
-66.0,2.022956,0.038664,False
-65.0,2.018046,0.036184,False
-64.0,2.01089,0.032019,False
-63.0,1.994816,0.040336,False
-62.0,1.986135,0.035132,False
-61.0,1.97476,0.031689,False
-60.0,1.959262,0.030452,False
-59.0,1.942792,0.026499,False
-58.0,1.924662,0.028909,False
-57.0,1.907197,0.027169,False
-56.0,1.891145,0.018265,False
-55.0,1.869796,0.017912,False
-54.0,1.85215,0.011556,False
-53.0,1.829975,0.010205,False
-52.0,1.805314,0.01159,False
-51.0,1.783994,0.013207,False
-50.0,1.761364,0.011014,False
-49.0,1.73225,0.023516,False
-48.0,1.717229,0.005384,False
-47.0,1.693965,0.004529,False
-46.0,1.67108,0.005319,False
-45.0,1.64781,0.00393,False
-44.0,1.624751,0.003271,False
-43.0,1.60099,0.001209,False
-42.0,1.577267,0.00097,False
-41.0,1.553177,0.00099,False
-40.0,1.529453,0.001589,False
-39.0,1.505456,0.001536,False
-38.0,1.479855,0.000563,False
-37.0,1.455323,0.000465,False
-36.0,1.430814,0.000389,False
-35.0,1.406439,0.000316,False
-34.0,1.382355,0.000463,False
-33.0,1.356834,0.000385,False
-32.0,1.332171,0.000403,False
-31.0,1.307896,0.000331,False
-30.0,1.283555,0.000286,False
-29.0,1.259704,0.000215,False
-28.0,1.233208,0.000402,True
-27.0,1.208632,0.000322,True
-26.0,1.184055,0.000318,True
-25.0,1.159834,0.000321,True
-24.0,1.135857,0.000452,True
-23.0,1.111728,0.000313,True
-22.0,1.087737,0.000356,True
-21.0,1.062859,0.000323,True
-20.0,1.038435,0.000376,True
-19.0,1.013712,0.000364,True
-18.0,0.989799,0.000316,True
-17.0,0.965491,0.00037,True
-16.0,0.940545,0.000356,True
-15.0,0.915853,0.000378,True
-14.0,0.890934,0.000332,True
-13.0,0.865023,0.000293,False
-12.0,0.839423,0.000364,False
-11.0,0.813105,0.000331,False
-10.0,0.78718,0.00036,False
-9.0,0.761792,0.000316,False
-8.0,0.738147,0.000308,False
-7.0,0.713589,0.000314,False
-6.0,0.68994,0.000358,False
-5.0,0.66705,0.000322,False
-4.0,0.645678,0.000374,False
-3.0,0.626883,0.000407,False
-2.0,0.608504,0.000305,False
-1.0,0.592401,0.000347,False
0.0,0.578504,0.000376,False
1.0,0.566575,0.000615,False
2.0,0.55812,0.000273,False
3.0,0.548854,0.000295,False
4.0,0.541135,0.000338,False
5.0,0.534726,0.00025,False
6.0,0.528239,0.000341,False
7.0,0.52231,0.000345,False
8.0,0.517104,0.000324,False
9.0,0.513581,0.000368,False
10.0,0.511338,0.000321,False
11.0,0.511143,0.000327,False
12.0,0.512134,0.000357,False
13.0,0.513532,0.00036,False
14.0,0.513364,0.00032,False
15.0,0.512051,0.000376,False
16.0,0.510387,0.000376,False
17.0,0.508542,0.000307,False
